software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,deprecated_at,deprecated_reason,product_id,purl_coverage_flag,data_quality_notes
AWS CloudHSM,,,,,,not_found,,2026-05-10,,,,,
AWS Identity and Access Management (IAM),,,,,,not_found,,2026-05-10,,,,,
AWS KMS,,,,,,not_found,,2026-05-10,,,,,
AWS KMS (Cloud Gateway),,,,,,not_found,,2026-05-10,,,,,
AWS Payments Cryptography PQC,,,,,,not_found,,2026-05-10,,,,,
AWS Private CA PQC,,,,,,not_found,,2026-05-10,,,,,
AWS s2n-tls,pkg:github/aws/s2n-tls,github,aws,s2n-tls,exact,matched,https://github.com/aws/s2n-tls,2026-05-10,,,,,
AWS Transfer Family,,,,,,not_found,,2026-05-10,,,,,
AWS-LC,pkg:github/aws/aws-lc,github,aws,aws-lc,manual,matched,https://github.com/aws/aws-lc,2026-05-10,,,,,
Azure AKS,,,,,,not_found,,2026-05-10,,,,,
Azure Dedicated HSM,,,,,,not_found,,2026-05-10,,,,,
Azure Dedicated HSM (Marvell LiquidSecurity),,,,,,not_found,,2026-05-10,,,,,
Azure DevOps,,,,,,not_found,,2026-05-10,,,,,
Azure Key Vault,,,,,,not_found,,2026-05-10,,,,,
Bamboo CI (Roadmap),,,,,,not_found,,2026-05-10,,,,,
Barclays (PQC Research),,,,,,not_found,,2026-05-10,,,,,
Barracuda Email Protection,,,,,,not_found,,2026-05-10,,,,,
BERTEN MLDS-B235,,,,,,not_found,,2026-05-10,,,,,
BERTEN MLKE-B135,,,,,,not_found,,2026-05-10,,,,,
BeyondTrust Pathfinder Platform,,,,,,not_found,,2026-05-10,,,,,
BeyondTrust Privilege Management,,,,,,not_found,,2026-05-10,,,,,
BIS Project Leap PQC,,,,,,not_found,,2026-05-10,,,,,
Bitcoin Core,pkg:github/bitcoin/bitcoin,github,bitcoin,bitcoin,exact,matched,https://github.com/bitcoin/bitcoin,2026-05-10,,,,,
BitGo,,,,,,not_found,,2026-05-10,,,,,
BitLocker (Windows),,,,,,not_found,,2026-05-10,,,,,
Bitvise SSH Server,,,,,,not_found,,2026-05-10,,,,,
Bitwarden,,,,,,not_found,,2026-05-10,,,,,
BlackBerry QNX Hypervisor 8.0 for Safety,,,,,,not_found,,2026-05-10,,,,,
BlackBerry QNX Neutrino RTOS,,,,,,not_found,,2026-05-10,,,,,
Boeing (Quantum-Safe Sky),,,,,,not_found,,2026-05-10,,,,,
BoringSSL,pkg:github/google/boringssl,github,google,boringssl,manual,matched,https://github.com/google/boringssl,2026-05-10,,,,,
Botan,pkg:github/randombit/botan,github,randombit,botan,exact,matched,https://github.com/randombit/botan,2026-05-10,,,,,
Bouncy Castle,pkg:github/bcgit/bc-java,github,bcgit,bc-java,exact,matched,https://github.com/bcgit/bc-java,2026-05-10,,,,,
Bouncy Castle C# .NET,pkg:nuget/BouncyCastle.Cryptography,nuget,,BouncyCastle.Cryptography,manual,matched,https://www.nuget.org/packages/BouncyCastle.Cryptography,2026-05-10,,,,,
Bouncy Castle C\# / Java,,,,,,not_found,,2026-05-10,,,,,
Bouncy Castle Java,pkg:maven/org.bouncycastle/bcprov-jdk18on,maven,org.bouncycastle,bcprov-jdk18on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-jdk18on,2026-05-10,,,,,
Bouncy Castle Java LTS,pkg:maven/org.bouncycastle/bcprov-lts8on,maven,org.bouncycastle,bcprov-lts8on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-lts8on,2026-05-10,,,,,
Box Shield,,,,,,not_found,,2026-05-10,,,,,
Bradesco IBM Quantum Safe,,,,,,not_found,,2026-05-10,,,,,
Brave Browser,,,,,,not_found,,2026-05-10,,,,,
Broadcom Avi (NSX ALB),,,,,,not_found,,2026-05-10,,,,,
Broadcom Emulex SecureHBA,,,,,,not_found,,2026-05-10,,,,,
Broadcom Symantec DLP,,,,,,not_found,,2026-05-10,,,,,
Broadcom Symantec SES,,,,,,not_found,,2026-05-10,,,,,
BSI PQC Recommendations,,,,,,not_found,,2026-05-10,,,,,
BTQ Bitcoin Quantum,,,,,,not_found,,2026-05-10,,,,,
BTQ Bitcoin Quantum Testnet,,,,,,not_found,,2026-05-10,,,,,
C-DOT Quantum CEM Encryptor,,,,,,not_found,,2026-05-10,,,,,
Caddy Server,,,,,,not_found,,2026-05-10,,,,,
Cardano,pkg:github/IntersectMBO/cardano-node,github,IntersectMBO,cardano-node,exact,matched,https://github.com/IntersectMBO/cardano-node,2026-05-10,,,,,
CAST KiviPQC-KEM,,,,,,not_found,,2026-05-10,,,,,
CATO Networks SASE,,,,,,not_found,,2026-05-10,,,,,
Cellcrypt PQC Communications,,,,,,not_found,,2026-05-10,,,,,
CentOS Stream,,,,,,not_found,,2026-05-10,,,,,
Certicom Code Signing and Key Management Server,,,,,,not_found,,2026-05-10,,,,,
Check Point Quantum,,,,,,not_found,,2026-05-10,,,,,
Checkmarx One,,,,,,not_found,,2026-05-10,,,,,
Chelpis Quantum PQC (Taiwan),,,,,,not_found,,2026-05-10,,,,,
Chile National Quantum Strategy,,,,,,not_found,,2026-05-10,,,,,
China PQC National Standards (ICCS),,,,,,not_found,,2026-05-10,,,,,
China Telecom Quantum Group,,,,,,not_found,,2026-05-10,,,,,
ChromeOS,,,,,,not_found,,2026-05-10,,,,,
Ciena WaveLogic 6 Extreme,,,,,,not_found,,2026-05-10,,,,,
Cilium Service Mesh PQC,,,,,,not_found,,2026-05-10,,,,,
CIQ Rocky Linux CAVP PQC,,,,,,not_found,,2026-05-10,,,,,
CIRCL,pkg:github/cloudflare/circl,github,cloudflare,circl,exact,matched,https://github.com/cloudflare/circl,2026-05-10,,,,,
CircleCI,,,,,,not_found,,2026-05-10,,,,,
CISA PQC Migration Framework,,,,,,not_found,,2026-05-10,,,,,
Cisco AI Defense (formerly Robust Intelligence Platform),,,,,,not_found,,2026-05-10,,,,,
Cisco ASA (Adaptive Security Appliance),,,,,,not_found,,2026-05-10,,,,,
Cisco Catalyst 9500 PQC,,,,,,not_found,,2026-05-10,,,,,
Cisco Catalyst Center,,,,,,not_found,,2026-05-10,,,,,
Cisco Identity Services Engine (ISE),,,,,,not_found,,2026-05-10,,,,,
Cisco IOS XE PQC,,,,,,not_found,,2026-05-10,,,,,
Cisco IOS XR,,,,,,not_found,,2026-05-10,,,,,
Cisco Meraki MX (Cloud-Managed Firewall),,,,,,not_found,,2026-05-10,,,,,
Cisco Secure Client (AnyConnect),,,,,,not_found,,2026-05-10,,,,,
Cisco Webex,,,,,,not_found,,2026-05-10,,,,,
citadel_pqcrypto,pkg:github/citadel-protocol/citadel_pqcrypto,github,citadel-protocol,citadel_pqcrypto,exact,matched,https://github.com/citadel-protocol/citadel_pqcrypto,2026-05-10,,,,,
Citrix ADC (NetScaler),,,,,,not_found,,2026-05-10,,,,,
Citrix CVAD,,,,,,not_found,,2026-05-10,,,,,
Citrix Virtual Apps and Desktops,,,,,,not_found,,2026-05-10,,,,,
Claroty Platform,,,,,,not_found,,2026-05-10,,,,,
Cloudflare CIRCL,,,,,,not_found,,2026-05-10,,,,,
Cloudflare Edge Network,,,,,,not_found,,2026-05-10,,,,,
Cloudflare Zero Trust,,,,,,not_found,,2026-05-10,,,,,
Cloudian HyperStore 8.0,,,,,,not_found,,2026-05-10,,,,,
CockroachDB Encryption,pkg:github/cockroachdb/cockroach,github,cockroachdb,cockroach,exact,matched,https://github.com/cockroachdb/cockroach,2026-05-10,,,,,
Codegic Khatim PKI Server,,,,,,not_found,,2026-05-10,,,,,
Codegic Khatim Sign Server,,,,,,not_found,,2026-05-10,,,,,
Cohesity DataCloud,,,,,,not_found,,2026-05-10,,,,,
Coinbase Custody,,,,,,not_found,,2026-05-10,,,,,
Commvault Cloud,,,,,,not_found,,2026-05-10,,,,,
Confluent Cloud Kafka PQC,,,,,,not_found,,2026-05-10,,,,,
Copper.co,,,,,,not_found,,2026-05-10,,,,,
coreboot,pkg:github/coreboot/coreboot,github,coreboot,coreboot,exact,matched,https://github.com/coreboot/coreboot,2026-05-10,,,,,
CoreDNS PQC DNSSEC,,,,,,not_found,,2026-05-10,,,,,
Cosmian covercrypt,pkg:github/Cosmian/cover_crypt,github,Cosmian,cover_crypt,exact,matched,https://github.com/Cosmian/cover_crypt,2026-05-10,,,,,
Cosmian KMS,pkg:github/Cosmian/kms,github,Cosmian,kms,exact,matched,https://github.com/Cosmian/kms,2026-05-10,,,,,
Cosmos/Tendermint,pkg:github/cosmos/cosmos-sdk,github,cosmos,cosmos-sdk,exact,matched,https://github.com/cosmos/cosmos-sdk,2026-05-10,,,,,
Cranium AI Security Platform,,,,,,not_found,,2026-05-10,,,,,
CREDEBL,,,,,,not_found,,2026-05-10,,,,,
CrowdStrike Falcon,,,,,,not_found,,2026-05-10,,,,,
Crucible,pkg:github/symbolicsoft/crucible,github,symbolicsoft,crucible,exact,matched,https://github.com/symbolicsoft/crucible,2026-05-10,,,,,
Crypto Quantique QDID Platform,,,,,,not_found,,2026-05-10,,,,,
