concept_id,display_label,source_type,source_table,source_row_id,primary_url,status,deprecated_at,deprecated_reason
standard:fips-205,FIPS 205,standard,library,FIPS 205,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.pdf,active,,
standard:fips-206,FIPS 206,standard,library,FIPS 206,https://csrc.nist.gov/projects/post-quantum-cryptography,active,,
standard:fs-isac-pqc-timeline-2026,FS-ISAC-PQC-Timeline-2026,standard,library,FS-ISAC-PQC-Timeline-2026,https://www.fsisac.com/hubfs/Knowledge/PQC/FS-ISAC-PQC-Timelines-White-Paper.pdf,active,,
standard:gri-quantum-threat-timeline-2024,GRI-Quantum-Threat-Timeline-2024,standard,library,GRI-Quantum-Threat-Timeline-2024,https://globalriskinstitute.org/publication/2024-quantum-threat-timeline-report/,active,,
standard:gsa-pqc-buyers-guide-2025,GSA-PQC-Buyers-Guide-2025,standard,library,GSA-PQC-Buyers-Guide-2025,https://buy.gsa.gov/api/system/files/documents/final-508c-pqc_buyer-s_guide_2025.pdf,active,,
standard:gsma-pq03-pqc-guidelines,GSMA PQ.03 PQC Guidelines,standard,library,GSMA PQ.03 PQC Guidelines,https://www.gsma.com/newsroom/wp-content/uploads/PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-Cases-v2.0-2.pdf,active,,
standard:gsma-pq03-v2-2024,GSMA-PQ03-v2-2024,standard,library,GSMA-PQ03-v2-2024,https://www.gsma.com/newsroom/wp-content/uploads//PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-Cases-v2.0-2.pdf,active,,
standard:gsma-pqc-country-survey-2025,GSMA-PQC-Country-Survey-2025,standard,library,GSMA-PQC-Country-Survey-2025,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,active,,
standard:hqc-specification,HQC Specification,standard,library,HQC Specification,https://pqc-hqc.org/doc/hqc_specifications_2025_08_22.pdf,active,,
standard:ibm-cbom-harishankar,IBM-CBOM-Harishankar,standard,library,IBM-CBOM-Harishankar,https://research.ibm.com/blog/cryptographic-bill-of-materials,active,,
standard:iec-62443,IEC 62443,standard,library,IEC 62443,https://www.iec.ch/iecsaal/,active,,
standard:ieee-1363,IEEE 1363,standard,library,IEEE 1363,https://standards.ieee.org/ieee/1363/1024/,active,,
standard:ieee-1363a,IEEE 1363a,standard,library,IEEE 1363a,https://standards.ieee.org/ieee/1363a/2004/,active,,
standard:ietf-ml-kem-for-tls-13,IETF-ML-KEM-for-TLS-1.3,standard,library,IETF-ML-KEM-for-TLS-1.3,,active,,
standard:ietf-mtc-draft-09,IETF-MTC-Draft-09,standard,library,IETF-MTC-Draft-09,https://datatracker.ietf.org/doc/draft-ietf-plants-merkle-tree-certs/,active,,
standard:ietf-rfc-7296,IETF RFC 7296,standard,library,IETF RFC 7296,https://www.rfc-editor.org/rfc/rfc7296.html,active,,
standard:ietf-rfc-7662,IETF RFC 7662,standard,library,IETF RFC 7662,https://www.rfc-editor.org/rfc/rfc7662,active,,
standard:ietf-rfc-8391,IETF RFC 8391,standard,library,IETF RFC 8391,https://www.rfc-editor.org/rfc/rfc8391.html,active,,
standard:ietf-rfc-8554,IETF RFC 8554,standard,library,IETF RFC 8554,https://www.rfc-editor.org/rfc/rfc8554.html,active,,
standard:ietf-rfc-8709,IETF RFC 8709,standard,library,IETF RFC 8709,https://www.rfc-editor.org/rfc/rfc8709,active,,
standard:ietf-rfc-8731,IETF RFC 8731,standard,library,IETF RFC 8731,https://www.rfc-editor.org/rfc/rfc8731.html,active,,
standard:ietf-rfc-8784,IETF RFC 8784,standard,library,IETF RFC 8784,https://www.rfc-editor.org/rfc/rfc8784.html,active,,
standard:ietf-rfc-9180,IETF RFC 9180,standard,library,IETF RFC 9180,https://www.rfc-editor.org/rfc/rfc9180,active,,
standard:ietf-rfc-9258,IETF RFC 9258,standard,library,IETF RFC 9258,https://www.rfc-editor.org/rfc/rfc9258,active,,
standard:ietf-rfc-9370,IETF RFC 9370,standard,library,IETF RFC 9370,https://www.rfc-editor.org/rfc/rfc9370.html,active,,
standard:ietf-rfc-9763,IETF RFC 9763,standard,library,IETF RFC 9763,https://www.rfc-editor.org/rfc/rfc9763,active,,
standard:ietf-rfc-9909,IETF RFC 9909,standard,library,IETF RFC 9909,https://www.rfc-editor.org/rfc/rfc9909,active,,
standard:il-incd-cybersecurity-strategy-2025,IL-INCD-Cybersecurity-Strategy-2025,standard,library,IL-INCD-Cybersecurity-Strategy-2025,https://www.gov.il/BlobFolder/news/cyber_strategy_2025/en/israel_national_cybersecurity_strategy_feb2025.pdf,active,,
standard:iso-18013-5-mdl,ISO-18013-5-mDL,standard,library,ISO-18013-5-mDL,https://www.iso.org/standard/69084.html,active,,
standard:iso-27001,ISO-27001,standard,library,ISO-27001,,active,,
standard:iso-iec-14888-42024,ISO/IEC 14888-4:2024,standard,library,ISO/IEC 14888-4:2024,https://www.iso.org/standard/80492.html,active,,
standard:iso-iec-18033-22006,ISO/IEC 18033-2:2006,standard,library,ISO/IEC 18033-2:2006,https://www.iso.org/standard/54653.html,active,,
standard:iso-iec-19790,ISO-IEC-19790,standard,library,ISO-IEC-19790,,active,,
standard:iso-iec-24759,ISO-IEC-24759,standard,library,ISO-IEC-24759,,active,,
standard:itpro-monetizing-quantum-shift-pqc-2026,ITPro-Monetizing-Quantum-Shift-PQC-2026,standard,library,ITPro-Monetizing-Quantum-Shift-PQC-2026,https://www.itpro.com/security/monetizing-the-quantum-shift-11-pqc-channel-opportunities,active,,
standard:japan-cryptrec-report-2024,Japan CRYPTREC Report 2024,standard,library,Japan CRYPTREC Report 2024,https://www.cryptrec.go.jp/report/cryptrec-gl-2007-2024.pdf,active,,
standard:kmip-v2-1-oasis,KMIP-V2-1-OASIS,standard,library,KMIP-V2-1-OASIS,https://docs.oasis-open.org/kmip/kmip-spec/v2.1/os/kmip-spec-v2.1-os.html,active,,
standard:kpqc-aimer,KpqC-AIMer,standard,library,KpqC-AIMer,https://www.kpqc.or.kr/images/pdf/AIMer.pdf,active,,
standard:kpqc-competition-results,KpqC-Competition-Results,standard,library,KpqC-Competition-Results,https://www.kpqc.or.kr/competition.html,active,,
standard:kpqc-ntru-plus,KpqC-NTRU-Plus,standard,library,KpqC-NTRU-Plus,https://www.kpqc.or.kr/images/pdf/NTRU+.pdf,active,,
standard:kpqc-smaug-t,KpqC-SMAUG-T,standard,library,KpqC-SMAUG-T,https://kpqc.cryptolab.co.kr/smaug-t,active,,
standard:ledger-enterprise-mpc-readiness,Ledger-Enterprise-MPC-Readiness,standard,library,Ledger-Enterprise-MPC-Readiness,,active,,
standard:liboqs-cpp,Liboqs-cpp,standard,library,Liboqs-cpp,https://github.com/open-quantum-safe/liboqs-cpp,active,,
standard:liboqs-go,Liboqs-go,standard,library,Liboqs-go,https://github.com/open-quantum-safe/liboqs-go,active,,
standard:liboqs-v0150,liboqs-v0.15.0,standard,library,liboqs-v0.15.0,https://openquantumsafe.org/liboqs/,active,,
